!!! Retrieved on 2022-05-21-12:08:17.451997 !!!
address,location,city,district
"вул.Алма-Атинська 39з, Київ","50.44331,30.66522","Київ, ",Дніпровський район
"пр.Перемоги 119/121 (Поліклініка), Київ","50.45319,30.36373","Київ, ",Дніпровський район
"вул.Митрополита Андрея Шептицького 24, Київ","50.45733,30.59298","Київ, ",Дніпровський район
"пр.Возз'єднання 5, Київ","50.44009,30.61956","Київ, ",Дніпровський район
"бул.Перова 24, Київ","50.48013,30.59522","Київ, ",Дніпровський район
"вул.Краківська 13 (вхід з вул. Попудренка або Мініна лікарня №2), Київ","50.45679,30.62374","Київ, ",Дніпровський район
"вул.Миколи Кибальчича 13а, Київ","50.49295,30.60043","Київ, ",Дніпровський район
"пр.Соборності 6, Київ","50.44184,30.62228","Київ, ",Дніпровський район
"вул.Курнатовського 13а, Київ","50.4862,30.60245","Київ, ",Дніпровський район
"бул.Праці 2/27, Київ","50.45253,30.62105","Київ, ",Дніпровський район
"вул.Братиславська 20, Київ","50.46825,30.6261","Київ, ",Дніпровський район
"вул.Академіка Корольова 8, Київ","50.42921,30.39331","Київ, ",Дніпровський район
"вул.Воскресенська 12в, Київ","50.46714,30.60313","Київ, ",Дніпровський район
"вул.Краківська 13 (КМКЛ №2, Опіковий центр), Київ","50.4567,30.62352","Київ, ",Дніпровський район
"вул.Щусєва 2/19, Київ","50.47416,30.44743","Київ, ",Дніпровський район
"вул.Шолом-Алейхема 3, Київ","50.47144,30.62622","Київ, ",Дніпровський район
"вул.Митрополита Андрея Шептицького 24, Київ","50.45805,30.59235","Київ, ",Дніпровський район
"вул.Кисловодська 20, Київ","50.47224,30.66863","Київ, ",Дніпровський район
"вул.Петра Запорожця 28, Київ","50.47993,30.60612","Київ, ",Дніпровський район
"вул.Теодора Драйзера 8, Київ","50.50281,30.60519","Київ, ",Дніпровський район
"вул.Льва Толстого 5А, Київ","50.43959,30.51405","Київ, ",Дніпровський район
"вул.Василя Липківського 27/5, Київ","50.43235,30.47994","Київ, ",Дніпровський район
"вул.Гната Хоткевича 1Б (Ашан), Київ","50.45461,30.63789","Київ, ",Дніпровський район
"вул.Миколи Лаврухіна 4, Київ","50.51651,30.60205","Київ, ",Дніпровський район
"ш.Харківське 19 (ТЦ ""Мегасіті""), Київ","50.43218,30.63391","Київ, ",Дніпровський район
"вул.Раїси Окіпної 9, Київ","50.4484,30.59288","Київ, ",Дніпровський район
"вул.Градинська 11, Київ","50.51905,30.59729","Київ, ",Дніпровський район
"пр.Романа Шухевича 2В, Київ","50.49261,30.57915","Київ, ",Дніпровський район
"вул.Петра Вершигори 1, Київ","50.49325,30.57643","Київ, ",Дніпровський район
